id,created_at,text,source
667410407217319936,2015-11-19 18:33:35,French Crusade in Syria 1066 Battle of Damascus Battle of Aleppo Battle of Acre https://t.co/PBBLFqDIK4 https://t.co/A08uPNaJwN,Twitter Web Client
667339759992311809,2015-11-19 13:52:52,@FRANCE24 Expect American troops to go back home in ashes,Twitter Web Client
667339585974702081,2015-11-19 13:52:10,@FRANCE24 Are you sure you really want this lol?,Twitter Web Client
667339461726990336,2015-11-19 13:51:40,RT @RamiAlLolah: Shocking facts &amp; numbers of #USA #UK crimes in #Iraq in a new book: They bombed us with 250 nukes between 1991-2003 https:…,Twitter Web Client
667333015459229696,2015-11-19 13:26:03,@ijazulhaq Zia ul haq was close to establishing Sharia please follow his footsteps and establish sharia,Twitter Web Client
667332856675438592,2015-11-19 13:25:26,RT @ijazulhaq: https://t.co/DIQma0JwDh,Twitter Web Client
667332327316566016,2015-11-19 13:23:19,@KayBurley Stupid bitch no body feels sorry for them get over yourself fuckin whore,Twitter Web Client
667331033361227776,2015-11-19 13:18:11,@KayBurley LOL you fuckin whore people dont sympathize with them,Twitter Web Client
667329860050812928,2015-11-19 13:13:31,"@cathynewman You stupid bitch do you have schitzophrenia or something? ""Ushered out of the mosque"" fuckin whore",Twitter Web Client
667325424167440384,2015-11-19 12:55:54,RT @RamiAlLolah: #BreakingNews Horrific scenes #Raqqa. Civilians massacre after #USA-led Coalition strikes.. #ParisAttacks #Syria https://t…,Twitter Web Client
667325361366147072,2015-11-19 12:55:39,@vicenews How true is that statement so true,Twitter Web Client
667325014979551232,2015-11-19 12:54:16,RT @VictorySeries1: https://t.co/MHbKoSY0Xp May Allah protect Al Jazeera they show how the kuffar filthy hands were broken by ISIS LOL http…,Twitter Web Client
667313196466700288,2015-11-19 12:07:18,@nevrousgirls @yasmines_xo @Majstar7 @DailyCaller well Ofcourse groups like isis and al qaeda will be very angered by this,Twitter for Android
667167974982361088,2015-11-19 02:30:15,Ahrar al Sham https://t.co/ZUDvUeBxjN https://t.co/DXBhed3g3n,Twitter Web Client
667157820098412545,2015-11-19 01:49:54,@Channel4News Its a war between Muslims and Zionists and the Muslims will win,Twitter Web Client
667154237588152320,2015-11-19 01:35:40,"RT @Channel4News: “There is a war between muslim and non-muslim"": a leader from the mosque attended by Abdelhamid Abaaoud speaks https://t.…",Twitter for Android
667154164791844864,2015-11-19 01:35:22,@France24_en @FRANCE24 go fuck.yourself rest of the world doesn't feel sorry for you,Twitter for Android
667153982528335872,2015-11-19 01:34:39,"RT @HashashinTag: Muslim women get physically kicked off buses, thrown in front of trains etc by strangers, and you dismiss their fears as …",Twitter for Android
667153816006037505,2015-11-19 01:33:59,@France24_en @FRANCE24 go fuck.yourself the rest of the world doesn't feel sorry for you,Twitter for Android
