id,created_at,text,source
669701553666842626,2015-11-26 02:17:47,"RT @Charles_Lister: - #Assad responsible for 95.96% of civilian deaths.\0x0A- Armed opposition: 1.42%\0x0A- Unidentified: 1.06%\0x0A- #ISIS: 0.91% http…",Twitter for iPhone
669701451648774145,2015-11-26 02:17:23,"RT @Y715th: Christian Iraqi MP:\0x0AIran-backed Hashd militia continues to expel Christians and confiscate their property in Baghdad\0x0Ahttps://t.…",Twitter for iPhone
669692858174185473,2015-11-26 01:43:14,"@MsJulieLenarz @IHWCo \0x0Aaww 💔\0x0Abut u still can shed a lil bit of ur crocodile tears for the victims of your wars, invasions and drone strikes.",Twitter for iPhone
669683545108029440,2015-11-26 01:06:13,part of the weapons captured by #IS from regime forces who suffered a humiliating defeat at Mahin.. #IslamicState https://t.co/Lk2TlWi15d,Twitter for iPhone
669681283036000256,2015-11-26 00:57:14,"Russian air force was providing air support to the defeated regime troops, but it didn't avail them at all.. #IS https://t.co/gHePNPiI1C",Twitter for iPhone
669679486607220737,2015-11-26 00:50:06,"#pt\0x0ASVBIED attack carried out by Abu Nasir ash-Shami against #SAA al-Alaf checkpoint in Mahin.. #IS\0x0A#IslamicState https://t.co/bOlq8M0FTA",Twitter for iPhone
669677429515026432,2015-11-26 00:41:55,"#IS new🎥shows the battles vs. #SAA around Mahin which ended up with #IS takeover of the town\0x0Ahttps://t.co/m9sfPZfdH6 https://t.co/XRuglCin1S",Twitter for iPhone
669669671529021440,2015-11-26 00:11:06,"#IS soldiers in Ribat-lines..\0x0AWilayat north Baghdad.. #IslamicState #ISIS #Iraq\0x0Ahttps://t.co/aaG8knuGo6 https://t.co/5MalC5eHpq",Twitter for iPhone
669668384313892865,2015-11-26 00:05:59,"Photo report📷:\0x0A#IS soldiers in the perimeter of #Kweires airbase.\0x0A#IslamicState #Syria #ISIS\0x0Ahttps://t.co/1kDaJeuSDf https://t.co/FqIuZSFRY8",Twitter for iPhone
669666778881130498,2015-11-25 23:59:36,"RT @taw_ops: #IslamicState #Iraq\0x0AAftermath of US-led airstrikes the city of al-Ruba, east of #Anbar\0x0Ahttps://t.co/avKyk7MVn1 https://t.co/p6…",Twitter for iPhone
669666738997448704,2015-11-25 23:59:27,"RT @taw_ops: #IslamicState #Iraq\0x0AVictims of US-led airstrike on the city of al-Rutba east of #Anbar https://t.co/b28M67dVIe",Twitter for iPhone
