id,created_at,text
578397768604995584,2015-03-19 03:29:08,"Quebec man charged for refusing to give up cellphone password at airport http://t.co/TEfHzZnzmX

Is this some sort of a joke?"
578378068026384384,2015-03-19 02:10:51,"My google chrome isn't letting me pull up http://t.co/ODWl8kNLrS, any techs who can help! Appreciated! 😊"
578371339955937283,2015-03-19 01:44:07,"As a Muslim you are responsible for searching for haqq, &amp; that does not mean following dollar scholars blindly!"
578365019416584193,2015-03-19 01:19:00,"A Muslim country will never know of a ""good status' as long as it is not governed by shariah (the laws of Allah)"
578332101273104384,2015-03-18 23:08:12,"""One of the worst sins is a person who takes his sins lightly.""

[Abu Bakr Al Siddiq]"
578320923675213824,2015-03-18 22:23:47,"When will coconut Muslims understand that for the kuffars ""combating terrorism"" means combating Islam"" #WarOnIslam"
578316837924024320,2015-03-18 22:07:33,I am obsessed with suratul al imran😍
578270497617612800,2015-03-18 19:03:25,"coconut Mozlems: ""how can you want shariah when you don't know much of shariah""

Me: Ya kalb I don't need to be a scholar to want shariah!😣"
578269179842859010,2015-03-18 18:58:10,"This week has been so long, I am so over it😠😠"
578241985854771200,2015-03-18 17:10:07,Muslim women are pearls! Their beauty isn't very everyone but their mahrams! http://t.co/XYfKbAlHKa
578235181066235904,2015-03-18 16:43:04,"😂😂😂 my covo with my cousin, nvm the misspelling of blessing! She wants loads of kids mansha'allah! http://t.co/tkgDUtog2Q"
578229289591709696,2015-03-18 16:19:40,Look at this Iraqi army faggot posing with pictures of beheaded Sunni civilians! No outraged? Because its not the #IS http://t.co/LUUq4jVwta
578214893431730176,2015-03-18 15:22:27,U.S. officials fear weapons supplied to Yemen have fallen into the wrong hands http://t.co/scEWl9DoEm http://t.co/9RU8j9JI0c
578194404227289088,2015-03-18 14:01:02,I wish I spoke Farsi
578187817391681537,2015-03-18 13:34:52,Ex-lawyer for doctor who helped CIA in bin Laden hunt killed in Pakistan http://t.co/YEnxHZmQBS
578167201624137728,2015-03-18 12:12:57,"Modern Mozlem: Extremist Muslims hijacked my peaceful religion Islam""

Me: How can it be hijacked when you never had it!! Ageeb! 😏"
578049110848094208,2015-03-18 04:23:42,When your trying to sleep and all you can think of is the affair of the ummah and your mind won't stop 😭😭😭
578047348477067265,2015-03-18 04:16:42,Among the ummah there is handful of people who choose tawheed over taghut &amp; nationalism &amp; sadly those are labeled terrorist &amp; khawarij etc!
578043333227970560,2015-03-18 04:00:44,😴😴😴😴😴😴😴😴😴😴😴😴
578034261720231937,2015-03-18 03:24:42,The beautiful love story of Abu Darda ra and Umm Darda ra! http://t.co/a6VBn5twyO
578018234747748352,2015-03-18 02:21:00,"As a Muslim u have to believe that the believers will be victories whether the disbelievers dislike it, if u don't u need to fix your iman!"
578012640494133248,2015-03-18 01:58:47,"Jews and Shias, I am debating which one is more filthier&amp;Evil! 😏"
578004169128337408,2015-03-18 01:25:07,"Ibn Taymiyah rh took knowledge from 2 hundred scholars of that four scholars were female scholars!

Now all the sexist Akhi's can take a sit"
